日付,評価
2014-01-01,44
2014-01-02,42
2014-01-03,29
2014-01-04,36
2014-01-05,34
2014-01-06,41
2014-01-07,36
2014-01-08,30
2014-01-09,31
2014-01-10,30
2014-01-11,30
2014-01-12,40
2014-01-13,27
2014-01-14,39
2014-01-15,21
2014-01-16,27
2014-01-17,36
2014-01-18,38
2014-01-19,19
2014-01-20,42
2014-01-21,38
2014-01-22,36
2014-01-23,43
2014-01-24,33
2014-01-25,26
2014-01-26,32
2014-01-27,44
2014-01-28,47
2014-01-29,25
2014-01-30,31
2014-01-31,46
2014-02-01,36
2014-02-02,30
2014-02-03,30
2014-02-04,35
2014-02-05,31
2014-02-06,34
2014-02-07,30
2014-02-08,48
2014-02-09,32
2014-02-10,59
2014-02-11,36
2014-02-12,43
2014-02-13,33
2014-02-14,37
2014-02-15,47
2014-02-16,67
2014-02-17,44
2014-02-18,35
2014-02-19,40
2014-02-20,34
2014-02-21,35
2014-02-22,38
2014-02-23,42
2014-02-24,42
2014-02-25,34
2014-02-26,28
2014-02-27,28
2014-02-28,35
2014-03-01,36
2014-03-02,29
2014-03-03,37
2014-03-04,30
2014-03-05,21
2014-03-06,29
2014-03-07,46
2014-03-08,28
2014-03-09,34
2014-03-10,35
2014-03-11,15
2014-03-12,31
2014-03-13,30
2014-03-14,24
2014-03-15,21
2014-03-16,33
2014-03-17,25
2014-03-18,31
2014-03-19,28
2014-03-20,27
2014-03-21,51
2014-03-22,28
2014-03-23,30
2014-03-24,22
2014-03-25,29
2014-03-26,40
2014-03-27,31
2014-03-28,31
2014-03-29,29
2014-03-30,37
2014-03-31,25
2014-04-01,27
2014-04-02,27
2014-04-03,29
2014-04-04,28
2014-04-05,29
2014-04-06,39
2014-04-07,29
2014-04-08,28
2014-04-09,28
2014-04-10,34
2014-04-11,36
2014-04-12,19
2014-04-13,35
2014-04-14,27
2014-04-15,31
2014-04-16,26
2014-04-17,23
2014-04-18,27
2014-04-19,27
2014-04-20,22
2014-04-21,35
2014-04-22,16
2014-04-23,25
2014-04-24,33
2014-04-25,31
2014-04-26,31
2014-04-27,28
2014-04-28,38
2014-04-29,27
2014-04-30,33
2014-05-01,30
2014-05-02,33
2014-05-03,28
2014-05-04,31
2014-05-05,31
2014-05-06,24
2014-05-07,31
2014-05-08,31
2014-05-09,34
2014-05-10,32
2014-05-11,38
2014-05-12,30
2014-05-13,29
2014-05-14,22
2014-05-15,28
2014-05-16,22
2014-05-17,26
2014-05-18,34
2014-05-19,34
2014-05-20,22
2014-05-21,25
2014-05-22,25
2014-05-23,33
2014-05-24,31
2014-05-25,39
2014-05-26,27
2014-05-27,23
2014-05-28,31
2014-05-29,34
2014-05-30,20
2014-05-31,31
2014-06-01,30
2014-06-02,34
2014-06-03,27
2014-06-04,24
2014-06-05,33
2014-06-06,27
2014-06-07,28
2014-06-08,22
2014-06-09,23
2014-06-10,21
2014-06-11,20
2014-06-12,26
2014-06-13,33
2014-06-14,31
2014-06-15,28
2014-06-16,23
2014-06-17,31
2014-06-18,27
2014-06-19,32
2014-06-20,33
2014-06-21,24
2014-06-22,27
2014-06-23,22
2014-06-24,23
2014-06-25,26
2014-06-26,31
2014-06-27,21
2014-06-28,19
2014-06-29,40
2014-06-30,33
2014-07-01,28
2014-07-02,37
2014-07-03,24
2014-07-04,27
2014-07-05,25
2014-07-06,36
2014-07-07,24
2014-07-08,38
2014-07-09,23
2014-07-10,28
2014-07-11,38
2014-07-12,39
2014-07-13,36
2014-07-14,35
2014-07-15,26
2014-07-16,23
2014-07-17,26
2014-07-18,18
2014-07-19,30
2014-07-20,31
2014-07-21,27
2014-07-22,34
2014-07-23,30
2014-07-24,38
2014-07-25,22
2014-07-26,46
2014-07-27,30
2014-07-28,38
2014-07-29,29
2014-07-30,24
2014-07-31,32
2014-08-01,31
2014-08-02,33
2014-08-03,28
2014-08-04,43
2014-08-05,44
2014-08-06,33
2014-08-07,42
2014-08-08,25
2014-08-09,41
2014-08-10,23
2014-08-11,32
2014-08-12,32
2014-08-13,32
2014-08-14,42
2014-08-15,33
2014-08-16,36
2014-08-17,29
2014-08-18,32
2014-08-19,32
2014-08-20,28
2014-08-21,21
2014-08-22,38
2014-08-23,29
2014-08-24,24
2014-08-25,27
2014-08-26,33
2014-08-27,28
2014-08-28,26
2014-08-29,33
2014-08-30,31
2014-08-31,28
2014-09-01,27
2014-09-02,34
2014-09-03,30
2014-09-04,31
2014-09-05,24
2014-09-06,25
2014-09-07,32
2014-09-08,36
2014-09-09,41
2014-09-10,41
2014-09-11,29
2014-09-12,23
2014-09-13,28
2014-09-14,39
2014-09-15,32
2014-09-16,28
2014-09-17,31
2014-09-18,39
2014-09-19,29
2014-09-20,22
2014-09-21,34
2014-09-22,30
2014-09-23,25
2014-09-24,41
2014-09-25,32
2014-09-26,32
2014-09-27,28
2014-09-28,21
2014-09-29,45
2014-09-30,29
2014-10-01,29
2014-10-02,28
2014-10-03,25
2014-10-04,22
2014-10-05,28
